[2023-01-29 16:45:50.008] [main] [info] git revision: 318f514ab7602a823f4e0bd93952b041e3158e6b
[2023-01-29 16:45:50.010] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #71: Velocity update parameter is not specified, using default as false
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.029] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.030] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.031] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.032] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.033] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.034] [quadrilateral::<2, 4>] [info] Constructed quad
